Type,Name,Degree,Grade,Year,Industry,Thesis
Undergrad,Alice,ECE,85,2,False,N/A
Postgrad,Justin,EEE,49,N/A,N/A,Robust eco-centric artificial intelligence
Postgrad,Kaylee,MECH,37,N/A,N/A,Persevering value-added secured line
Postgrad,Stephanie,ECE,93,N/A,N/A,Assimilated coherent pricing structure
Postgrad,David,COMP,49,N/A,N/A,Reactive attitude-oriented budgetary management
Undergrad,Ryan,EEE,41,1,False,N/A
Undergrad,Bailey,ECE,61,2,True,N/A
Undergrad,Jennifer,BIO,34,1,True,N/A
Undergrad,Cristian,ECE,94,1,True,N/A
Postgrad,Joseph,MECH,36,N/A,N/A,Decentralized attitude-oriented hardware
Undergrad,Laura,ECE,74,3,False,N/A
